player_name,total,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
SCHEFFLER SCOTTIE,-20,0.31,0.77,1.59,1.61,3.97,4.28
HARMAN BRIAN,-19,1.42,0.15,2.26,0.21,2.61,4.03
SCHAUFFELE XANDER,-19,1.26,0.62,1.39,0.76,2.77,4.03
CLARK WYNDHAM,-19,1.53,0.51,1.54,0.46,2.50,4.03
FITZPATRICK MATT,-16,1.83,-0.61,0.89,1.17,1.45,3.28
KIM SI WOO,-15,1.20,0.61,0.26,0.97,1.83,3.03
MATSUYAMA HIDEKI,-15,-0.51,0.77,1.61,1.15,3.54,3.03
ABERG LUDVIG,-14,-0.30,0.63,1.45,1.01,3.08,2.78
THEEGALA SAHITH,-13,2.10,-0.87,0.96,0.33,0.43,2.53
MCNEALY MAVERICK,-13,0.61,1.98,-0.29,0.23,1.92,2.53
DAHMEN JOEL,-12,-0.97,0.95,1.29,1.01,3.25,2.28
MONTGOMERY TAYLOR,-12,1.65,0.63,0.02,-0.02,0.63,2.28
CONNERS COREY,-11,0.60,-0.23,0.75,0.92,1.43,2.03
LASHLEY NATE,-11,-0.19,0.43,1.92,-0.13,2.22,2.03
BEZUIDENHOUT CHRISTIAAN,-11,0.47,0.09,1.75,-0.28,1.56,2.03
RYDER SAM,-10,1.14,0.00,0.10,0.53,0.64,1.78
STRAKA SEPP,-10,-0.32,0.62,1.14,0.35,2.10,1.78
GHIM DOUG,-10,0.77,0.58,0.37,0.06,1.01,1.78
MCILROY RORY,-9,1.03,-0.37,1.04,-0.17,0.50,1.53
NOREN ALEX,-9,0.35,0.47,0.08,0.64,1.19,1.53
ENGLISH HARRIS,-9,-0.11,0.23,0.69,0.72,1.64,1.53
SCHENK ADAM,-9,-0.10,0.63,0.10,0.91,1.63,1.53
LOWRY SHANE,-9,-0.28,-0.33,1.42,0.72,1.81,1.53
KITAYAMA KURT,-9,0.43,-0.40,0.86,0.64,1.10,1.53
WU DYLAN,-9,0.51,0.30,1.02,-0.30,1.02,1.53
KIRK CHRIS,-8,-0.18,0.83,-0.36,1.00,1.46,1.28
NESMITH MATTHEW,-8,-0.04,0.02,0.49,0.82,1.32,1.28
HUGHES MACKENZIE,-8,-0.81,0.80,0.22,1.06,2.09,1.28
TAYLOR NICK,-8,1.13,-0.77,0.91,0.01,0.15,1.28
SCHMID MATTHIAS,-8,0.48,0.01,0.23,0.56,0.80,1.28
HUBBARD MARK,-7,-1.60,0.48,2.07,0.08,2.63,1.03
MARTIN BEN,-7,1.02,-0.15,0.66,-0.50,0.01,1.03
IM SUNGJAE,-7,-0.50,0.59,-0.14,1.08,1.53,1.03
MOORE TAYLOR,-7,-0.09,0.28,0.43,0.41,1.12,1.03
DAY JASON,-6,0.83,0.59,-0.44,-0.20,-0.05,0.78
FLEETWOOD TOMMY,-6,1.10,0.10,-0.83,0.41,-0.32,0.78
GARNETT BRICE,-6,0.06,0.17,-0.37,0.93,0.72,0.78
MCCARTHY DENNY,-6,0.99,0.23,-0.07,-0.37,-0.21,0.78
RAI AARON,-6,-0.21,-0.24,0.67,0.56,0.99,0.78
HODGES LEE,-6,0.95,-0.19,0.15,-0.14,-0.17,0.78
STANGER JIMMY,-6,0.90,-0.73,0.26,0.35,-0.12,0.78
MURRAY GRAYSON,-5,-0.23,-0.13,0.79,0.09,0.76,0.53
PAN C.T.,-5,-1.38,0.44,1.43,0.04,1.91,0.53
LIPSKY DAVID,-5,-0.01,0.39,0.82,-0.67,0.54,0.53
MOORE RYAN,-4,-1.48,0.12,1.53,0.12,1.76,0.28
BURNS SAM,-4,-0.02,0.10,0.07,0.13,0.30,0.28
POSTON J.T.,-4,0.32,0.36,0.25,-0.65,-0.04,0.28
SCOTT ADAM,-4,1.05,0.56,-1.52,0.18,-0.77,0.28
FINAU TONY,-4,0.32,0.23,0.51,-0.78,-0.04,0.28
MORIKAWA COLLIN,-4,-0.38,0.54,-0.65,0.77,0.66,0.28
ECKROAT AUSTIN,-4,-1.04,-0.16,0.74,0.74,1.32,0.28
KNAPP JAKE,-4,1.01,0.17,-0.28,-0.62,-0.73,0.28
PUTNAM ANDREW,-3,-0.76,0.65,1.04,-0.91,0.79,0.03
LAIRD MARTIN,-2,0.99,0.58,-1.09,-0.70,-1.21,-0.22
HOGE TOM,-2,1.32,-0.68,1.44,-2.30,-1.53,-0.22
MOLINARI FRANCESCO,-2,0.49,-0.35,-0.21,-0.15,-0.71,-0.22
BLAIR ZAC,-2,-0.28,0.16,0.75,-0.85,0.07,-0.22
